,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.postalCode,location.state,name,referralId,venuePage.id
10,"[{'id': '4f4532974b9074f6e4fb0104', 'name': 'Daycare', 'pluralName': 'Daycares', 'shortName': 'Daycare', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/daycare_', 'suffix': '.png'}, 'primary': True}]",False,53274d4b498e08a40f001138,4051 Cross Timbers Road,US,Flower Mound,United States,,33600,"['4051 Cross Timbers Road', 'Flower Mound, TX 75028', 'United States']","[{'label': 'display', 'lat': 33.0401, 'lng': -97.09331}]",33.0401,-97.09331,75028,TX,The Goddard School,v-1551745308,
11,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4c62b38069a1c9b6863739a4,2001 Reagan Dr,US,McKinney,United States,,5330,"['2001 Reagan Dr', 'McKinney, TX 75070', 'United States']","[{'label': 'display', 'lat': 33.184316632273436, 'lng': -96.73934202144684}]",33.184316632273436,-96.73934202144684,75070,TX,Gerald Sonntag Elementary,v-1551745308,
12,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4c587104744a0f47664acbcb,1351 N. Dooley St.,US,Grapevine,United States,,36859,"['1351 N. Dooley St.', 'Grapevine, TX 76051', 'United States']","[{'label': 'display', 'lat': 32.948820995558485, 'lng': -97.07684098044052}]",32.948820995558485,-97.07684098044052,76051,TX,Silver Lake Elementary,v-1551745308,
13,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4ac0afe2f964a520609420e3,5300 Pool Rd,US,Colleyville,United States,,44693,"['5300 Pool Rd', 'Colleyville, TX 76034', 'United States']","[{'label': 'display', 'lat': 32.88570515736123, 'lng': -97.12513573325501}]",32.88570515736123,-97.12513573325501,76034,TX,O.C. Taylor Elementary,v-1551745308,
14,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,53f7a3b5498ef49996ea2634,10550 Millbend Dr,US,McKinney,United States,Eden Drive,6266,"['10550 Millbend Dr (Eden Drive)', 'McKinney, TX 75070', 'United States']","[{'label': 'display', 'lat': 33.19365920331175, 'lng': -96.75970236273926}]",33.19365920331175,-96.75970236273926,75070,TX,Scott Elementary,v-1551745308,
15,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4beb0ba5b3352d7fc4f655d2,3801 Rainier Rd,US,Plano,United States,at Yellowstone Dr.,10670,"['3801 Rainier Rd (at Yellowstone Dr.)', 'Plano, TX 75023', 'United States']","[{'label': 'display', 'lat': 33.04435084692944, 'lng': -96.72638703753418}]",33.04435084692944,-96.72638703753418,75023,TX,Christie Elementary School,v-1551745308,
16,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4c93bda882b56dcb7394c8aa,4300 Rockledge,US,Plano,United States,,4596,"['4300 Rockledge', 'Plano, TX', 'United States']","[{'label': 'display', 'lat': 33.102599522236936, 'lng': -96.77836226018638}]",33.102599522236936,-96.77836226018638,,TX,Ruth Borchardt Elementary,v-1551745308,
17,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4d90b10ad265236a62463b17,,US,,United States,,48026,"['Texas', 'United States']","[{'label': 'display', 'lat': 32.90355343554488, 'lng': -97.18457453115039}]",32.90355343554488,-97.18457453115039,,Texas,Liberty Elementary,v-1551745308,
18,"[{'id': '4bf58dd8d48988d13d941735', 'name': 'High School', 'pluralName': 'High Schools', 'shortName': 'High School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4d9325f49213b1f7a912c146,7200 Denton Hwy,US,Watauga,United States,,55749,"['7200 Denton Hwy', 'Watauga, TX 76148', 'United States']","[{'label': 'display', 'lat': 32.87439650229355, 'lng': -97.26039406931712}]",32.87439650229355,-97.26039406931712,76148,TX,Harvest Christian Academy,v-1551745308,71763965
19,"[{'id': '4f4533804b9074f6e4fb0105', 'name': 'Elementary School', 'pluralName': 'Elementary Schools', 'shortName': 'Elementary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}, 'primary': True}]",False,4cf6b5b00a71224b50821f93,,US,Frisco,United States,,9340,"['Frisco, TX 75034', 'United States']","[{'label': 'display', 'lat': 33.15845126946079, 'lng': -96.84950348471772}]",33.15845126946079,-96.84950348471772,75034,TX,Carroll Elementary School,v-1551745308,
